split,label,value,count,ratio
train,faithfulness,1,1059,0.7303448275862069
train,faithfulness,0,391,0.2696551724137931
train,relevancy,1,1267,0.8737931034482759
train,relevancy,0,183,0.12620689655172415
train,reliability,1,1042,0.7186206896551725
train,reliability,0,408,0.2813793103448276
validation,faithfulness,1,213,0.7344827586206897
validation,faithfulness,0,77,0.2655172413793103
validation,relevancy,1,253,0.8724137931034482
validation,relevancy,0,37,0.12758620689655173
validation,reliability,1,209,0.7206896551724138
validation,reliability,0,81,0.2793103448275862
test,faithfulness,1,213,0.7344827586206897
test,faithfulness,0,77,0.2655172413793103
test,relevancy,1,253,0.8724137931034482
test,relevancy,0,37,0.12758620689655173
test,reliability,1,209,0.7206896551724138
test,reliability,0,81,0.2793103448275862
