binary_faithfulness,binary_relevancy,joint_label,__faithfulness_binary,__relevancy_binary,__reliability_binary,__expected_reliability
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
True,False,0_1,1,0,1,0
