tok_p,tok_r,tok_f,cp,cr,cf,ap,ar,af,TP,FP,FN,TN,gpr,ppr,A,B,C,D,model,gt,tt
0.2446,0.9048,0.3852,0.247,0.9002,0.3877,0.4131,0.9019,0.5667,13722,42367,1443,29175,0.1749,0.6469,340,37,483,396,FROZEN_LR,0.05,0.05
0.2663,0.8371,0.404,0.269,0.8319,0.4065,0.4499,0.8568,0.59,12694,34976,2471,36566,0.1749,0.5498,323,54,395,484,FROZEN_LR,0.05,0.1
0.2756,0.7803,0.4073,0.2784,0.7764,0.4099,0.4636,0.8117,0.5902,11834,31105,3331,40437,0.1749,0.4952,306,71,354,525,FROZEN_LR,0.05,0.15
0.2854,0.7165,0.4082,0.2881,0.7166,0.411,0.4686,0.7719,0.5832,10866,27213,4299,44329,0.1749,0.4392,291,86,330,549,FROZEN_LR,0.05,0.2
0.2952,0.6094,0.3977,0.2979,0.6181,0.402,0.475,0.7056,0.5678,9241,22066,5924,49476,0.1749,0.3611,266,111,294,585,FROZEN_LR,0.05,0.25
0.3094,0.4731,0.3741,0.3109,0.4893,0.3802,0.487,0.6446,0.5548,7175,16015,7990,55527,0.1749,0.2675,243,134,256,623,FROZEN_LR,0.05,0.3
0.3279,0.3239,0.3259,0.3282,0.3435,0.3357,0.5183,0.5252,0.5217,4912,10066,10253,61476,0.1749,0.1727,198,179,184,695,FROZEN_LR,0.05,0.35
0.361,0.1872,0.2465,0.3567,0.2029,0.2587,0.5753,0.3952,0.4686,2839,5026,12326,66516,0.1749,0.0907,149,228,110,769,FROZEN_LR,0.05,0.4
0.2567,0.8919,0.3987,0.2589,0.8868,0.4008,0.4513,0.8727,0.5949,13526,39161,1639,32381,0.1749,0.6076,329,48,400,479,FROZEN_LR,0.1,0.05
0.2783,0.8261,0.4164,0.2808,0.8207,0.4184,0.4845,0.8276,0.6112,12528,32487,2637,39055,0.1749,0.5192,312,65,332,547,FROZEN_LR,0.1,0.1
0.2887,0.7724,0.4203,0.2914,0.7683,0.4225,0.5,0.7851,0.6109,11714,28863,3451,42679,0.1749,0.468,296,81,296,583,FROZEN_LR,0.1,0.15
0.2991,0.7096,0.4208,0.3017,0.7094,0.4234,0.5054,0.7507,0.6041,10761,25217,4404,46325,0.1749,0.4149,283,94,277,602,FROZEN_LR,0.1,0.2
0.3092,0.6053,0.4093,0.3118,0.6135,0.4135,0.5109,0.6844,0.585,9180,20509,5985,51033,0.1749,0.3424,258,119,247,632,FROZEN_LR,0.1,0.25
0.3224,0.4715,0.3829,0.324,0.4873,0.3892,0.5244,0.626,0.5707,7151,15031,8014,56511,0.1749,0.2558,236,141,214,665,FROZEN_LR,0.1,0.3
0.3393,0.3232,0.3311,0.34,0.3426,0.3413,0.5603,0.5172,0.5379,4902,9546,10263,61996,0.1749,0.1666,195,182,153,726,FROZEN_LR,0.1,0.35
0.3707,0.1871,0.2487,0.3665,0.2028,0.2611,0.6033,0.3873,0.4717,2838,4818,12327,66724,0.1749,0.0883,146,231,96,783,FROZEN_LR,0.1,0.4
0.2635,0.8775,0.4053,0.2659,0.8732,0.4077,0.4728,0.8515,0.608,13308,37190,1857,34352,0.1749,0.5824,321,56,358,521,FROZEN_LR,0.15,0.05
0.2853,0.8118,0.4222,0.2881,0.8071,0.4247,0.505,0.809,0.6218,12311,30841,2854,40701,0.1749,0.4977,305,72,299,580,FROZEN_LR,0.15,0.1
0.296,0.7582,0.4258,0.2991,0.7548,0.4285,0.5179,0.7666,0.6182,11498,27342,3667,44200,0.1749,0.4479,289,88,269,610,FROZEN_LR,0.15,0.15
0.3063,0.6958,0.4254,0.3094,0.6963,0.4284,0.5227,0.7321,0.6099,10552,23897,4613,47645,0.1749,0.3973,276,101,252,627,FROZEN_LR,0.15,0.2
0.3148,0.5936,0.4114,0.3178,0.6019,0.416,0.5273,0.6658,0.5885,9002,19591,6163,51951,0.1749,0.3298,251,126,225,654,FROZEN_LR,0.15,0.25
0.3271,0.4643,0.3838,0.3292,0.4796,0.3904,0.5335,0.6127,0.5704,7041,14483,8124,57059,0.1749,0.2482,231,146,202,677,FROZEN_LR,0.15,0.3
0.3434,0.3197,0.3312,0.3449,0.339,0.3419,0.5701,0.5066,0.5365,4849,9270,10316,62272,0.1749,0.1628,191,186,144,735,FROZEN_LR,0.15,0.35
0.3753,0.1861,0.2488,0.3717,0.2015,0.2613,0.6111,0.3793,0.4681,2822,4698,12343,66844,0.1749,0.0867,143,234,91,788,FROZEN_LR,0.15,0.4
0.2703,0.8672,0.4121,0.2727,0.8628,0.4144,0.4945,0.8382,0.622,13151,35503,2014,36039,0.1749,0.5611,316,61,323,556,FROZEN_LR,0.2,0.05
0.2919,0.8015,0.428,0.2949,0.7967,0.4305,0.519,0.7958,0.6283,12154,29477,3011,42065,0.1749,0.4801,300,77,278,601,FROZEN_LR,0.2,0.1
0.3023,0.7478,0.4306,0.3057,0.7444,0.4334,0.5338,0.7533,0.6249,11341,26170,3824,45372,0.1749,0.4326,284,93,248,631,FROZEN_LR,0.2,0.15
0.3123,0.6866,0.4293,0.3154,0.6868,0.4323,0.5377,0.7188,0.6152,10412,22931,4753,48611,0.1749,0.3845,271,106,233,646,FROZEN_LR,0.2,0.2
0.3204,0.5863,0.4143,0.3236,0.5941,0.419,0.5395,0.6525,0.5906,8891,18861,6274,52681,0.1749,0.3201,246,131,210,669,FROZEN_LR,0.2,0.25
0.332,0.4581,0.385,0.3343,0.473,0.3917,0.5459,0.5995,0.5714,6947,13978,8218,57564,0.1749,0.2413,226,151,188,691,FROZEN_LR,0.2,0.3
0.3485,0.3159,0.3314,0.3505,0.3352,0.3427,0.582,0.4987,0.5371,4791,8958,10374,62584,0.1749,0.1586,188,189,135,744,FROZEN_LR,0.2,0.35
0.3815,0.1842,0.2485,0.3787,0.1996,0.2614,0.6167,0.3714,0.4636,2794,4529,12371,67013,0.1749,0.0845,140,237,87,792,FROZEN_LR,0.2,0.4
0.2751,0.8444,0.415,0.2777,0.8403,0.4175,0.5168,0.8143,0.6323,12806,33746,2359,37796,0.1749,0.5369,307,70,287,592,FROZEN_LR,0.25,0.05
0.2956,0.7787,0.4286,0.2987,0.7742,0.4311,0.5407,0.7745,0.6369,11809,28135,3356,43407,0.1749,0.4607,292,85,248,631,FROZEN_LR,0.25,0.1
0.3057,0.7256,0.4302,0.3092,0.7224,0.433,0.5542,0.7321,0.6309,11004,24987,4161,46555,0.1749,0.4151,276,101,222,657,FROZEN_LR,0.25,0.15
0.3161,0.6661,0.4288,0.3193,0.6662,0.4317,0.5572,0.6976,0.6196,10101,21850,5064,49692,0.1749,0.3685,263,114,209,670,FROZEN_LR,0.25,0.2
0.3243,0.5696,0.4133,0.3279,0.5772,0.4182,0.5597,0.634,0.5945,8638,17995,6527,53547,0.1749,0.3072,239,138,188,691,FROZEN_LR,0.25,0.25
0.3352,0.445,0.3824,0.3382,0.4592,0.3895,0.5681,0.5862,0.577,6748,13382,8417,58160,0.1749,0.2322,221,156,168,711,FROZEN_LR,0.25,0.3
0.3508,0.3079,0.328,0.3535,0.3262,0.3393,0.608,0.4854,0.5398,4670,8644,10495,62898,0.1749,0.1536,183,194,118,761,FROZEN_LR,0.25,0.35
0.3816,0.1806,0.2452,0.3796,0.1953,0.2579,0.6476,0.3607,0.4634,2739,4438,12426,67104,0.1749,0.0828,136,241,74,805,FROZEN_LR,0.25,0.4
0.2785,0.8313,0.4172,0.2816,0.8279,0.4202,0.5292,0.7931,0.6348,12607,32660,2558,38882,0.1749,0.5221,299,78,266,613,FROZEN_LR,0.3,0.05
0.2983,0.7658,0.4294,0.3019,0.7623,0.4325,0.5513,0.756,0.6376,11614,27321,3551,44221,0.1749,0.449,285,92,232,647,FROZEN_LR,0.3,0.1
0.3079,0.7133,0.4302,0.3119,0.7111,0.4336,0.5639,0.7135,0.63,10817,24311,4348,47231,0.1749,0.4051,269,108,208,671,FROZEN_LR,0.3,0.15
0.3177,0.6546,0.4277,0.3216,0.6558,0.4315,0.5673,0.6817,0.6193,9927,21324,5238,50218,0.1749,0.3604,257,120,196,683,FROZEN_LR,0.3,0.2
0.3259,0.5614,0.4124,0.3298,0.5693,0.4176,0.5669,0.618,0.5914,8514,17613,6651,53929,0.1749,0.3013,233,144,178,701,FROZEN_LR,0.3,0.25
0.3372,0.4396,0.3817,0.3402,0.4536,0.3888,0.576,0.5729,0.5745,6667,13102,8498,58440,0.1749,0.228,216,161,159,720,FROZEN_LR,0.3,0.3
0.354,0.3052,0.3278,0.3567,0.3231,0.3391,0.6109,0.4748,0.5343,4629,8448,10536,63094,0.1749,0.1508,179,198,114,765,FROZEN_LR,0.3,0.35
0.3866,0.1798,0.2455,0.3843,0.1942,0.258,0.6505,0.3554,0.4597,2727,4327,12438,67215,0.1749,0.0814,134,243,72,807,FROZEN_LR,0.3,0.4
0.2806,0.8123,0.4171,0.2836,0.8084,0.4198,0.5373,0.7639,0.6309,12319,31586,2846,39956,0.1749,0.5064,288,89,248,631,FROZEN_LR,0.35,0.05
0.3013,0.754,0.4306,0.3049,0.7502,0.4335,0.5585,0.7347,0.6346,11435,26514,3730,45028,0.1749,0.4377,277,100,219,660,FROZEN_LR,0.35,0.1
0.3109,0.7022,0.431,0.3148,0.6998,0.4342,0.5752,0.7003,0.6316,10649,23604,4516,47938,0.1749,0.395,264,113,195,684,FROZEN_LR,0.35,0.15
0.3212,0.6458,0.429,0.325,0.6468,0.4327,0.578,0.6684,0.6199,9793,20695,5372,50847,0.1749,0.3516,252,125,184,695,FROZEN_LR,0.35,0.2
0.3295,0.5552,0.4135,0.3335,0.563,0.4189,0.5772,0.6048,0.5907,8419,17132,6746,54410,0.1749,0.2947,228,149,167,712,FROZEN_LR,0.35,0.25
0.3409,0.4349,0.3822,0.3443,0.4489,0.3897,0.5884,0.565,0.5765,6596,12752,8569,58790,0.1749,0.2231,213,164,149,730,FROZEN_LR,0.35,0.3
0.3569,0.3022,0.3273,0.3601,0.3203,0.339,0.6232,0.4695,0.5356,4583,8258,10582,63284,0.1749,0.1481,177,200,107,772,FROZEN_LR,0.35,0.35
0.3894,0.1786,0.2449,0.3877,0.1931,0.2578,0.665,0.3528,0.461,2709,4248,12456,67294,0.1749,0.0802,133,244,67,812,FROZEN_LR,0.35,0.4
0.2834,0.7898,0.4172,0.2861,0.7846,0.4194,0.5505,0.7374,0.6304,11977,30278,3188,41264,0.1749,0.4873,278,99,227,652,FROZEN_LR,0.4,0.05
0.3028,0.733,0.4286,0.3059,0.7281,0.4308,0.5705,0.7082,0.632,11116,25593,4049,45949,0.1749,0.4234,267,110,201,678,FROZEN_LR,0.4,0.1
0.3117,0.6835,0.4281,0.3151,0.68,0.4306,0.5893,0.6737,0.6287,10365,22893,4800,48649,0.1749,0.3836,254,123,177,702,FROZEN_LR,0.4,0.15
0.3215,0.6292,0.4256,0.325,0.6292,0.4286,0.5902,0.6419,0.615,9542,20135,5623,51407,0.1749,0.3423,242,135,168,711,FROZEN_LR,0.4,0.2
0.3285,0.5402,0.4086,0.3324,0.5473,0.4136,0.5899,0.5915,0.5907,8192,16744,6973,54798,0.1749,0.2876,223,154,155,724,FROZEN_LR,0.4,0.25
0.3374,0.4212,0.3747,0.3408,0.4344,0.382,0.5989,0.5544,0.5758,6388,12544,8777,58998,0.1749,0.2183,209,168,140,739,FROZEN_LR,0.4,0.3
0.3508,0.2917,0.3185,0.354,0.3091,0.33,0.635,0.4615,0.5346,4423,8184,10742,63358,0.1749,0.1454,174,203,100,779,FROZEN_LR,0.4,0.35
0.3804,0.1718,0.2367,0.3775,0.1847,0.2481,0.6701,0.3448,0.4553,2605,4243,12560,67299,0.1749,0.079,130,247,64,815,FROZEN_LR,0.4,0.4
0.2867,0.769,0.4176,0.2892,0.7627,0.4193,0.5603,0.7029,0.6235,11662,29021,3503,42521,0.1749,0.4692,265,112,208,671,FROZEN_LR,0.45,0.05
0.3039,0.7139,0.4263,0.3065,0.7077,0.4278,0.5799,0.6737,0.6233,10827,24803,4338,46739,0.1749,0.4109,254,123,184,695,FROZEN_LR,0.45,0.1
0.3127,0.6667,0.4257,0.3154,0.662,0.4273,0.5946,0.6419,0.6173,10110,22226,5055,49316,0.1749,0.3729,242,135,165,714,FROZEN_LR,0.45,0.15
0.3221,0.6136,0.4225,0.3249,0.6123,0.4246,0.5938,0.6127,0.6031,9305,19581,5860,51961,0.1749,0.3331,231,146,158,721,FROZEN_LR,0.45,0.2
0.3286,0.5276,0.405,0.3321,0.5335,0.4094,0.595,0.565,0.5796,8001,16345,7164,55197,0.1749,0.2808,213,164,145,734,FROZEN_LR,0.45,0.25
