threshold,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,gc_tot,pc_tot,ov_tot,ans_precision,ans_recall,ans_f1,TP,FP,FN,TN,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,gate_model,gate_threshold,token_threshold
0.02,0.1784,0.9961,0.3026,0.1799,0.9936,0.3047,62074.0,342783.0,61678.0,0.3002,1.0,0.4617,15106.0,69575.0,59.0,1967.0,0.1749,0.9766,377,0,879,0,RAW,,0.02
0.03,0.203,0.9703,0.3358,0.2052,0.9669,0.3385,62074.0,292542.0,60020.0,0.3109,0.9947,0.4738,14714.0,57766.0,451.0,13776.0,0.1749,0.8359,375,2,831,48,RAW,,0.03
0.04,0.2177,0.9501,0.3542,0.2202,0.9464,0.3572,62074.0,266828.0,58746.0,0.3433,0.9735,0.5076,14409.0,51781.0,756.0,19761.0,0.1749,0.7634,367,10,702,177,RAW,,0.04
0.05,0.2258,0.93,0.3633,0.2283,0.9257,0.3662,62074.0,251729.0,57461.0,0.3633,0.9655,0.5279,14104.0,48371.0,1061.0,23171.0,0.1749,0.7205,364,13,638,241,RAW,,0.05
0.06,0.2312,0.9111,0.3688,0.2335,0.9056,0.3713,62074.0,240730.0,56212.0,0.3702,0.9496,0.5327,13817.0,45955.0,1348.0,25587.0,0.1749,0.6894,358,19,609,270,RAW,,0.06
0.07,0.2357,0.8965,0.3733,0.2383,0.8917,0.3761,62074.0,232278.0,55353.0,0.3777,0.9416,0.5391,13596.0,44089.0,1569.0,27453.0,0.1749,0.6653,355,22,585,294,RAW,,0.07
0.08,0.239,0.8816,0.376,0.2415,0.876,0.3786,62074.0,225128.0,54374.0,0.3851,0.9337,0.5453,13369.0,42569.0,1796.0,28973.0,0.1749,0.6451,352,25,562,317,RAW,,0.08
0.09,0.2419,0.869,0.3785,0.2448,0.8643,0.3815,62074.0,219163.0,53651.0,0.3888,0.9231,0.5472,13179.0,41298.0,1986.0,30244.0,0.1749,0.6283,348,29,547,332,RAW,,0.09
0.1,0.245,0.8586,0.3812,0.2478,0.854,0.3842,62074.0,213901.0,53010.0,0.39,0.9125,0.5465,13021.0,40133.0,2144.0,31409.0,0.1749,0.613,344,33,538,341,RAW,,0.1
0.11,0.2467,0.846,0.382,0.2499,0.8417,0.3853,62074.0,209096.0,52245.0,0.3924,0.8992,0.5463,12830.0,39174.0,2335.0,32368.0,0.1749,0.5998,339,38,525,354,RAW,,0.11
0.12,0.2484,0.8341,0.3829,0.2516,0.8303,0.3862,62074.0,204847.0,51542.0,0.3979,0.8992,0.5517,12649.0,38263.0,2516.0,33279.0,0.1749,0.5872,339,38,513,366,RAW,,0.12
0.13,0.2499,0.8214,0.3832,0.2529,0.8177,0.3864,62074.0,200676.0,50760.0,0.3971,0.8859,0.5484,12457.0,37392.0,2708.0,34150.0,0.1749,0.5749,334,43,507,372,RAW,,0.13
0.14,0.2513,0.8094,0.3835,0.2544,0.8061,0.3868,62074.0,196687.0,50039.0,0.4007,0.878,0.5503,12274.0,36568.0,2891.0,34974.0,0.1749,0.5633,331,46,495,384,RAW,,0.14
0.15,0.2528,0.7979,0.3839,0.2557,0.7948,0.387,62074.0,192928.0,49339.0,0.401,0.8647,0.5479,12100.0,35773.0,3065.0,35769.0,0.1749,0.5521,326,51,487,392,RAW,,0.15
0.16,0.2541,0.7843,0.3838,0.2569,0.7817,0.3867,62074.0,188883.0,48524.0,0.4007,0.8568,0.5461,11894.0,34922.0,3271.0,36620.0,0.1749,0.5399,323,54,483,396,RAW,,0.16
0.17,0.2558,0.7722,0.3843,0.2591,0.7715,0.3879,62074.0,184839.0,47889.0,0.4005,0.8488,0.5442,11711.0,34074.0,3454.0,37468.0,0.1749,0.528,320,57,479,400,RAW,,0.17
0.18,0.2578,0.7579,0.3847,0.2611,0.758,0.3884,62074.0,180209.0,47055.0,0.4003,0.8355,0.5412,11493.0,33091.0,3672.0,38451.0,0.1749,0.5142,315,62,472,407,RAW,,0.18
0.19,0.2603,0.7449,0.3858,0.2632,0.7448,0.389,62074.0,175637.0,46234.0,0.4065,0.8302,0.5458,11297.0,32103.0,3868.0,39439.0,0.1749,0.5005,313,64,457,422,RAW,,0.19
0.2,0.2628,0.7299,0.3864,0.2655,0.731,0.3896,62074.0,170878.0,45374.0,0.4055,0.8196,0.5426,11069.0,31056.0,4096.0,40486.0,0.1749,0.4858,309,68,453,426,RAW,,0.2
0.21,0.265,0.7099,0.3859,0.2675,0.7126,0.389,62074.0,165359.0,44231.0,0.4083,0.809,0.5427,10766.0,29865.0,4399.0,41677.0,0.1749,0.4686,305,72,442,437,RAW,,0.21
0.22,0.2671,0.6893,0.385,0.2694,0.6931,0.3879,62074.0,159723.0,43022.0,0.4077,0.7905,0.5379,10453.0,28680.0,4712.0,42862.0,0.1749,0.4513,298,79,433,446,RAW,,0.22
0.23,0.2692,0.6658,0.3834,0.2712,0.671,0.3863,62074.0,153593.0,41654.0,0.4086,0.7772,0.5356,10097.0,27414.0,5068.0,44128.0,0.1749,0.4326,293,84,424,455,RAW,,0.23
0.24,0.2721,0.6429,0.3824,0.2742,0.6501,0.3857,62074.0,147167.0,40354.0,0.4075,0.7533,0.5289,9749.0,26075.0,5416.0,45467.0,0.1749,0.4132,284,93,413,466,RAW,,0.24
0.25,0.2748,0.6164,0.3802,0.277,0.6261,0.3841,62074.0,140300.0,38867.0,0.4132,0.7454,0.5317,9348.0,24664.0,5817.0,46878.0,0.1749,0.3923,281,96,399,480,RAW,,0.25
0.26,0.278,0.5907,0.3781,0.2797,0.6011,0.3817,62074.0,133412.0,37313.0,0.4168,0.7374,0.5326,8958.0,23264.0,6207.0,48278.0,0.1749,0.3716,278,99,389,490,RAW,,0.26
0.27,0.2811,0.5623,0.3748,0.2824,0.5744,0.3786,62074.0,126286.0,35658.0,0.4228,0.7268,0.5346,8527.0,21805.0,6638.0,49737.0,0.1749,0.3498,274,103,374,505,RAW,,0.27
0.28,0.2846,0.5347,0.3715,0.2857,0.5484,0.3757,62074.0,119153.0,34041.0,0.4274,0.7109,0.5339,8109.0,20382.0,7056.0,51160.0,0.1749,0.3286,268,109,359,520,RAW,,0.28
0.29,0.2891,0.5073,0.3683,0.29,0.5223,0.373,62074.0,111779.0,32420.0,0.4316,0.695,0.5325,7693.0,18921.0,7472.0,52621.0,0.1749,0.3069,262,115,345,534,RAW,,0.29
0.3,0.2924,0.4754,0.3621,0.2931,0.4919,0.3673,62074.0,104181.0,30534.0,0.4366,0.6764,0.5307,7210.0,17450.0,7955.0,54092.0,0.1749,0.2844,255,122,329,550,RAW,,0.3
0.31,0.2973,0.4464,0.3569,0.2976,0.4632,0.3623,62074.0,96613.0,28750.0,0.4406,0.6499,0.5252,6770.0,16000.0,8395.0,55542.0,0.1749,0.2626,245,132,311,568,RAW,,0.31
0.32,0.3012,0.415,0.3491,0.3012,0.433,0.3553,62074.0,89222.0,26875.0,0.447,0.6154,0.5179,6294.0,14604.0,8871.0,56938.0,0.1749,0.241,232,145,287,592,RAW,,0.32
0.33,0.305,0.3854,0.3405,0.3042,0.403,0.3467,62074.0,82230.0,25016.0,0.4573,0.5968,0.5178,5844.0,13317.0,9321.0,58225.0,0.1749,0.221,225,152,267,612,RAW,,0.33
0.34,0.3091,0.3545,0.3303,0.3078,0.3728,0.3372,62074.0,75169.0,23140.0,0.4575,0.557,0.5024,5376.0,12016.0,9789.0,59526.0,0.1749,0.2006,210,167,249,630,RAW,,0.34
0.35,0.3154,0.3245,0.3199,0.3143,0.3439,0.3284,62074.0,67929.0,21348.0,0.4743,0.5385,0.5043,4921.0,10681.0,10244.0,60861.0,0.1749,0.1799,203,174,225,654,RAW,,0.35
0.36,0.3192,0.2941,0.3061,0.3164,0.3123,0.3143,62074.0,61270.0,19384.0,0.4789,0.5119,0.4949,4460.0,9514.0,10705.0,62028.0,0.1749,0.1612,193,184,210,669,RAW,,0.36
0.37,0.3262,0.266,0.2931,0.3243,0.2853,0.3035,62074.0,54612.0,17709.0,0.4974,0.4987,0.498,4034.0,8331.0,11131.0,63211.0,0.1749,0.1426,188,189,190,689,RAW,,0.37
0.38,0.3334,0.2397,0.2789,0.3321,0.2594,0.2913,62074.0,48478.0,16100.0,0.5044,0.4562,0.4791,3635.0,7267.0,11530.0,64275.0,0.1749,0.1257,172,205,169,710,RAW,,0.38
0.39,0.3427,0.2134,0.263,0.3389,0.2299,0.274,62074.0,42105.0,14271.0,0.5174,0.435,0.4726,3236.0,6208.0,11929.0,65334.0,0.1749,0.1089,164,213,153,726,RAW,,0.39
0.4,0.3523,0.1874,0.2447,0.3478,0.203,0.2564,62074.0,36229.0,12602.0,0.539,0.4032,0.4613,2842.0,5224.0,12323.0,66318.0,0.1749,0.093,152,225,130,749,RAW,,0.4
0.41,0.3582,0.1626,0.2237,0.3511,0.1764,0.2348,62074.0,31184.0,10950.0,0.5517,0.382,0.4514,2466.0,4418.0,12699.0,67124.0,0.1749,0.0794,144,233,117,762,RAW,,0.41
0.42,0.3646,0.1407,0.2031,0.3563,0.1524,0.2134,62074.0,26545.0,9457.0,0.5745,0.3581,0.4412,2134.0,3719.0,13031.0,67823.0,0.1749,0.0675,135,242,100,779,RAW,,0.42
0.43,0.3709,0.1182,0.1792,0.3609,0.1274,0.1884,62074.0,21918.0,7911.0,0.599,0.3289,0.4247,1792.0,3040.0,13373.0,68502.0,0.1749,0.0557,124,253,83,796,RAW,,0.43
0.44,0.3707,0.0972,0.154,0.3585,0.1039,0.1612,62074.0,17997.0,6452.0,0.5957,0.2971,0.3965,1474.0,2502.0,13691.0,69040.0,0.1749,0.0459,112,265,76,803,RAW,,0.44
0.45,0.3794,0.0801,0.1322,0.3706,0.0864,0.1402,62074.0,14475.0,5365.0,0.6074,0.2626,0.3667,1214.0,1986.0,13951.0,69556.0,0.1749,0.0369,99,278,64,815,RAW,,0.45
0.46,0.3841,0.0657,0.1122,0.3738,0.0705,0.1186,62074.0,11704.0,4375.0,0.6377,0.2334,0.3417,996.0,1597.0,14169.0,69945.0,0.1749,0.0299,88,289,50,829,RAW,,0.46
0.47,0.3924,0.0527,0.0929,0.3808,0.0571,0.0993,62074.0,9303.0,3543.0,0.6667,0.2122,0.3219,799.0,1237.0,14366.0,70305.0,0.1749,0.0235,80,297,40,839,RAW,,0.47
