category,sample_id,visible_token_ratio,visible_char_ratio,gold_char_recall,fully_visible_span_rate,partially_visible_span_rate,fully_truncated_span_rate,n_valid_spans,max_offset_end
A,case_c78fe197bdf1673d,1.0,1.0,1.0,1.0,0.0,0.0,1,854
A,case_c805ae50fb187572,1.0,1.0,1.0,1.0,0.0,0.0,1,471
A,case_79c2e88ed82c2381,1.0,1.0,1.0,1.0,0.0,0.0,1,382
A,case_07aa6c090ff32696,1.0,1.0,1.0,1.0,0.0,0.0,3,1106
A,case_48f030d356becc1f,1.0,1.0,1.0,1.0,0.0,0.0,1,633
A,case_1483412ce24e3039,1.0,1.0,1.0,1.0,0.0,0.0,1,1152
A,case_a2295e53466ba448,1.0,1.0,1.0,1.0,0.0,0.0,1,568
A,case_ad0a14a3b28234f3,1.0,1.0,1.0,1.0,0.0,0.0,1,557
A,case_6c965fde23fbcca0,1.0,1.0,1.0,1.0,0.0,0.0,1,375
A,case_8298e3b8dc3c70a6,1.0,1.0,1.0,1.0,0.0,0.0,1,258
A,case_18785aa4bb9e649a,1.0,1.0,1.0,1.0,0.0,0.0,2,841
A,case_41157cd086b1e397,1.0,1.0,1.0,1.0,0.0,0.0,1,433
A,case_7aa8bd86a6ec6c1e,1.0,1.0,1.0,1.0,0.0,0.0,1,331
A,case_7c01b60670d2e638,1.0,1.0,1.0,1.0,0.0,0.0,1,136
A,case_880ddeff79b54535,1.0,1.0,1.0,1.0,0.0,0.0,1,272
A,case_1cd5595e2650ebe0,1.0,1.0,1.0,1.0,0.0,0.0,1,271
A,case_df9270ab7bda8e26,1.0,1.0,1.0,1.0,0.0,0.0,3,221
A,case_fd4615f8906ff302,1.0,1.0,1.0,1.0,0.0,0.0,2,420
A,case_b9b609a3350558ad,1.0,0.9331081081081081,0.9067796610169492,0.875,0.125,0.0,8,1381
A,case_c699c797bb7d5d0e,1.0,0.8950617283950617,1.0,1.0,0.0,0.0,1,1450
A,case_b2b08f6b66dc200f,1.0,1.0,1.0,1.0,0.0,0.0,1,125
A,case_5ceb82fe8c40a96e,1.0,1.0,1.0,1.0,0.0,0.0,1,89
A,case_bd8c27323f43dfc3,1.0,1.0,1.0,1.0,0.0,0.0,1,123
A,case_7aca3c621e57b5bf,1.0,1.0,1.0,1.0,0.0,0.0,2,430
A,case_7ddbfe7fe5044819,1.0,1.0,1.0,1.0,0.0,0.0,1,83
A,case_81b5b656d3b9cfc0,1.0,1.0,1.0,1.0,0.0,0.0,1,266
A,case_7c5260e6fdeaa944,1.0,1.0,1.0,1.0,0.0,0.0,2,444
A,case_6c98ae1d58807a2e,1.0,1.0,1.0,1.0,0.0,0.0,1,489
A,case_c761098001b3a7f4,1.0,1.0,1.0,1.0,0.0,0.0,2,276
A,case_40747ccd7deda67f,1.0,1.0,1.0,1.0,0.0,0.0,2,727
A,case_8eefd314cdf03269,1.0,1.0,1.0,1.0,0.0,0.0,1,124
A,case_2b3b15e975109c78,1.0,1.0,1.0,1.0,0.0,0.0,1,118
A,case_cf7ac398d33d561b,1.0,1.0,1.0,1.0,0.0,0.0,1,170
A,case_57581627fd19cfe9,1.0,1.0,1.0,1.0,0.0,0.0,1,334
A,case_6acd997cd6af6221,1.0,1.0,1.0,1.0,0.0,0.0,1,483
A,case_ccaa6b2dcc4fc152,1.0,1.0,1.0,1.0,0.0,0.0,1,328
A,case_adcd0588e045af01,1.0,1.0,1.0,1.0,0.0,0.0,1,147
A,case_3ed07e884155b750,1.0,1.0,1.0,1.0,0.0,0.0,2,162
A,case_14fb64e0b4832610,1.0,1.0,1.0,1.0,0.0,0.0,1,92
A,case_a8975b1d763a47c8,1.0,1.0,1.0,1.0,0.0,0.0,1,120
A,case_f9f40ec79ba24c99,1.0,1.0,1.0,1.0,0.0,0.0,1,73
A,case_7ddbfe7fe5044819,1.0,1.0,1.0,1.0,0.0,0.0,1,83
A,case_6942bff60239f2ed,1.0,1.0,1.0,1.0,0.0,0.0,1,143
A,case_63fe4f96d36af506,1.0,1.0,1.0,1.0,0.0,0.0,1,1167
A,case_b4967bfd2d24c0c6,1.0,1.0,1.0,1.0,0.0,0.0,1,239
A,case_0a5018a45729f6b0,1.0,1.0,1.0,1.0,0.0,0.0,1,860
A,case_f69371fb3ffb6739,1.0,1.0,1.0,1.0,0.0,0.0,1,741
A,case_d8bd9b439a0b8f80,1.0,1.0,1.0,1.0,0.0,0.0,1,581
A,case_fcd8e71fcd0cc611,1.0,1.0,1.0,1.0,0.0,0.0,2,474
A,case_9b7a35737e3f1ece,1.0,1.0,1.0,1.0,0.0,0.0,3,425
A,case_42b51dc2267198d3,1.0,1.0,1.0,1.0,0.0,0.0,2,696
A,case_0993e438b75ddd84,1.0,1.0,1.0,1.0,0.0,0.0,1,107
A,case_546415850d293b63,1.0,1.0,1.0,1.0,0.0,0.0,1,387
A,case_52ece337f5b275c9,1.0,1.0,1.0,1.0,0.0,0.0,1,96
A,case_ef7b062c32d84b84,1.0,1.0,1.0,1.0,0.0,0.0,1,144
A,case_1c242251172ea23d,1.0,1.0,1.0,1.0,0.0,0.0,2,395
A,case_51c94ce694e40cc4,1.0,1.0,1.0,1.0,0.0,0.0,1,75
A,case_0f778a15a04e0155,1.0,1.0,1.0,1.0,0.0,0.0,1,152
A,case_9d8c31e8a6aed10a,1.0,1.0,1.0,1.0,0.0,0.0,1,200
A,case_ae1a534b4e2a0838,1.0,1.0,1.0,1.0,0.0,0.0,1,594
A,case_fd0faf24ee2b7828,1.0,1.0,1.0,1.0,0.0,0.0,1,354
A,case_ac06aea9a63cd1cb,1.0,1.0,1.0,1.0,0.0,0.0,1,216
A,case_aabf229d1a6a8dc5,1.0,1.0,1.0,1.0,0.0,0.0,1,469
A,case_6a6a509112049291,1.0,1.0,1.0,1.0,0.0,0.0,1,178
A,case_436667649fdc827e,1.0,1.0,1.0,1.0,0.0,0.0,2,370
A,case_6bafac8c86daa217,1.0,1.0,1.0,1.0,0.0,0.0,1,420
A,case_f235f6514c8fab65,1.0,1.0,1.0,1.0,0.0,0.0,2,435
A,case_03f0736b43ab35e4,1.0,1.0,1.0,1.0,0.0,0.0,1,137
A,case_baf232944ef5ad5b,1.0,1.0,1.0,1.0,0.0,0.0,1,86
A,case_56e67651551832fb,1.0,1.0,1.0,1.0,0.0,0.0,1,393
A,case_f70aadede4313e61,1.0,1.0,1.0,1.0,0.0,0.0,1,926
A,case_416dd68421f9089c,1.0,1.0,1.0,1.0,0.0,0.0,1,691
A,case_eac47d01f1b0d7a4,1.0,1.0,1.0,1.0,0.0,0.0,1,390
A,case_e5c14373c4c03bca,1.0,1.0,1.0,1.0,0.0,0.0,2,559
A,case_1b69823089ec4e9e,1.0,1.0,1.0,1.0,0.0,0.0,1,403
A,case_3492f005da3ca222,1.0,1.0,1.0,1.0,0.0,0.0,1,141
A,case_3a75bb590c722f78,1.0,1.0,1.0,1.0,0.0,0.0,1,718
A,case_3262eaccb01845ff,1.0,1.0,1.0,1.0,0.0,0.0,1,360
A,case_bd772fdbc51fb7c9,1.0,1.0,1.0,1.0,0.0,0.0,1,552
A,case_c34c951901ef4f86,1.0,1.0,1.0,1.0,0.0,0.0,1,338
A,case_3a07e38ea881d098,1.0,1.0,1.0,1.0,0.0,0.0,1,637
A,case_f4d646431b7229f3,1.0,1.0,1.0,1.0,0.0,0.0,1,1226
A,case_fe1867f9b5475e01,1.0,0.7838266384778013,1.0,1.0,0.0,0.0,3,1483
A,case_80dc8ea1f160f3b6,1.0,1.0,1.0,1.0,0.0,0.0,1,363
A,case_5ca79a8248930921,1.0,1.0,1.0,1.0,0.0,0.0,1,419
A,case_9e80df2c7c2b039b,1.0,1.0,1.0,1.0,0.0,0.0,1,473
A,case_d05c8076a26b48f6,1.0,1.0,1.0,1.0,0.0,0.0,1,551
A,case_1773a20a172326f9,1.0,1.0,1.0,1.0,0.0,0.0,1,435
