tok_p,tok_r,tok_f,cp,cr,cf,ap,ar,af,TP,FP,FN,TN,gpr,ppr,A,B,C,D,model,gt,tt
0.2369,0.9268,0.3774,0.2391,0.9226,0.3798,0.3947,0.9496,0.5576,14055,45272,1110,26270,0.1749,0.6842,358,19,549,330,SA_LR,0.05,0.05
0.2594,0.8554,0.398,0.2618,0.8509,0.4004,0.4295,0.8966,0.5808,12972,37044,2193,34498,0.1749,0.5768,338,39,449,430,SA_LR,0.05,0.1
0.2689,0.795,0.4019,0.2716,0.792,0.4044,0.4457,0.8488,0.5845,12056,32773,3109,38769,0.1749,0.517,320,57,398,481,SA_LR,0.05,0.15
0.2792,0.7281,0.4036,0.2817,0.7289,0.4063,0.4536,0.8037,0.5799,11041,28507,4124,43035,0.1749,0.4561,303,74,365,514,SA_LR,0.05,0.2
0.2883,0.6153,0.3927,0.2908,0.625,0.3969,0.4631,0.7321,0.5673,9331,23030,5834,48512,0.1749,0.3732,276,101,320,559,SA_LR,0.05,0.25
0.3015,0.4749,0.3689,0.3026,0.4913,0.3746,0.4808,0.6658,0.5584,7202,16684,7963,54858,0.1749,0.2755,251,126,271,608,SA_LR,0.05,0.3
0.3203,0.3245,0.3224,0.3196,0.3439,0.3313,0.5127,0.5358,0.524,4921,10441,10244,61101,0.1749,0.1772,202,175,192,687,SA_LR,0.05,0.35
0.354,0.1874,0.2451,0.3497,0.203,0.2569,0.5693,0.4032,0.472,2842,5186,12323,66356,0.1749,0.0926,152,225,115,764,SA_LR,0.05,0.4
0.2494,0.9244,0.3929,0.2518,0.9199,0.3953,0.4473,0.9337,0.6048,14019,42181,1146,29361,0.1749,0.6482,352,25,435,444,SA_LR,0.1,0.05
0.2716,0.8547,0.4122,0.2742,0.8502,0.4147,0.4653,0.8886,0.6108,12961,34765,2204,36777,0.1749,0.5504,335,42,385,494,SA_LR,0.1,0.1
0.2811,0.7947,0.4153,0.2838,0.7917,0.4178,0.4811,0.8435,0.6127,12051,30823,3114,40719,0.1749,0.4945,318,59,343,536,SA_LR,0.1,0.15
0.2914,0.7279,0.4162,0.2939,0.7288,0.4189,0.4863,0.8011,0.6052,11039,26845,4126,44697,0.1749,0.4369,302,75,319,560,SA_LR,0.1,0.2
0.3004,0.6153,0.4037,0.3028,0.625,0.408,0.4964,0.7294,0.5908,9331,21730,5834,49812,0.1749,0.3582,275,102,279,600,SA_LR,0.1,0.25
0.3141,0.4749,0.3781,0.3152,0.4913,0.384,0.5071,0.6658,0.5757,7202,15730,7963,55812,0.1749,0.2645,251,126,244,635,SA_LR,0.1,0.3
0.3334,0.3245,0.3289,0.3333,0.3439,0.3385,0.5416,0.5358,0.5387,4921,9838,10244,61704,0.1749,0.1702,202,175,171,708,SA_LR,0.1,0.35
0.3657,0.1874,0.2478,0.3611,0.203,0.2599,0.6032,0.4032,0.4833,2842,4930,12323,66612,0.1749,0.0896,152,225,100,779,SA_LR,0.1,0.4
0.2591,0.9131,0.4036,0.2612,0.9077,0.4057,0.4899,0.9019,0.6349,13847,39605,1318,31937,0.1749,0.6165,340,37,354,525,SA_LR,0.15,0.05
0.281,0.8457,0.4218,0.2833,0.8404,0.4238,0.5015,0.8674,0.6356,12825,32822,2340,38720,0.1749,0.5265,327,50,325,554,SA_LR,0.15,0.1
0.2909,0.7867,0.4247,0.2933,0.7827,0.4267,0.5175,0.8223,0.6352,11931,29086,3234,42456,0.1749,0.4731,310,67,289,590,SA_LR,0.15,0.15
0.3009,0.7215,0.4247,0.3033,0.7214,0.4271,0.5213,0.7798,0.6249,10942,25426,4223,46116,0.1749,0.4194,294,83,270,609,SA_LR,0.15,0.2
0.3087,0.6131,0.4107,0.3115,0.622,0.4151,0.5296,0.7109,0.607,9298,20817,5867,50725,0.1749,0.3473,268,109,238,641,SA_LR,0.15,0.25
0.3203,0.4748,0.3825,0.3218,0.4911,0.3888,0.5417,0.6552,0.593,7200,15282,7965,56260,0.1749,0.2593,247,130,209,670,SA_LR,0.15,0.3
0.3385,0.3244,0.3313,0.3384,0.3437,0.341,0.554,0.5305,0.542,4920,9614,10245,61928,0.1749,0.1676,200,177,161,718,SA_LR,0.15,0.35
0.3717,0.1874,0.2492,0.367,0.203,0.2614,0.6104,0.4032,0.4856,2842,4803,12323,66739,0.1749,0.0882,152,225,97,782,SA_LR,0.15,0.4
0.268,0.8857,0.4115,0.2703,0.8804,0.4136,0.5322,0.8329,0.6494,13431,36680,1734,34862,0.1749,0.5779,314,63,276,603,SA_LR,0.2,0.05
0.2885,0.8284,0.428,0.2909,0.8236,0.4299,0.5434,0.8143,0.6518,12563,30981,2602,40561,0.1749,0.5022,307,70,258,621,SA_LR,0.2,0.1
0.2977,0.7716,0.4297,0.3001,0.768,0.4316,0.5526,0.7798,0.6469,11702,27602,3463,43940,0.1749,0.4533,294,83,238,641,SA_LR,0.2,0.15
0.3071,0.7085,0.4284,0.3094,0.7085,0.4307,0.5542,0.7454,0.6357,10744,24246,4421,47296,0.1749,0.4035,281,96,226,653,SA_LR,0.2,0.2
0.3143,0.6052,0.4138,0.3172,0.6137,0.4182,0.5577,0.679,0.6124,9178,20021,5987,51521,0.1749,0.3368,256,121,203,676,SA_LR,0.2,0.25
0.3247,0.4719,0.3847,0.3264,0.4876,0.391,0.5647,0.6366,0.5985,7156,14883,8009,56659,0.1749,0.2542,240,137,185,694,SA_LR,0.2,0.3
0.341,0.3237,0.3321,0.3413,0.3431,0.3422,0.5811,0.5225,0.5503,4909,9486,10256,62056,0.1749,0.166,197,180,142,737,SA_LR,0.2,0.35
0.3722,0.1873,0.2492,0.3674,0.2029,0.2614,0.6148,0.3979,0.4831,2840,4791,12325,66751,0.1749,0.088,150,227,94,785,SA_LR,0.2,0.4
0.2721,0.8409,0.4112,0.2747,0.8374,0.4137,0.5685,0.748,0.646,12753,34111,2412,37431,0.1749,0.5405,282,95,214,665,SA_LR,0.25,0.05
0.2911,0.7873,0.425,0.2937,0.7838,0.4273,0.5732,0.7374,0.645,11939,29077,3226,42465,0.1749,0.473,278,99,207,672,SA_LR,0.25,0.1
0.3003,0.7332,0.4261,0.3029,0.7303,0.4282,0.5808,0.7056,0.6371,11119,25911,4046,45631,0.1749,0.4271,266,111,192,687,SA_LR,0.25,0.15
0.3099,0.6761,0.425,0.3122,0.6763,0.4272,0.5795,0.6764,0.6242,10253,22834,4912,48708,0.1749,0.3816,255,122,185,694,SA_LR,0.25,0.2
0.3175,0.5862,0.4119,0.3202,0.5928,0.4158,0.584,0.618,0.6005,8889,19105,6276,52437,0.1749,0.3229,233,144,166,713,SA_LR,0.25,0.25
0.3275,0.4651,0.3843,0.3295,0.4801,0.3908,0.5856,0.5809,0.5832,7053,14483,8112,57059,0.1749,0.2484,219,158,155,724,SA_LR,0.25,0.3
0.3425,0.3216,0.3317,0.3429,0.3406,0.3418,0.6019,0.5093,0.5517,4877,9364,10288,62178,0.1749,0.1642,192,185,127,752,SA_LR,0.25,0.35
0.3729,0.187,0.2491,0.368,0.2025,0.2612,0.6197,0.3846,0.4746,2836,4769,12329,66773,0.1749,0.0877,145,232,89,790,SA_LR,0.25,0.4
0.2798,0.7846,0.4125,0.2814,0.7794,0.4135,0.6045,0.6366,0.6202,11898,30630,3267,40912,0.1749,0.4905,240,137,157,722,SA_LR,0.3,0.05
0.2988,0.7412,0.426,0.3009,0.7364,0.4272,0.6071,0.6313,0.619,11241,26374,3924,45168,0.1749,0.4338,238,139,154,725,SA_LR,0.3,0.1
0.3074,0.6923,0.4258,0.3095,0.6879,0.4269,0.6193,0.6127,0.616,10498,23652,4667,47890,0.1749,0.3939,231,146,142,737,SA_LR,0.3,0.15
0.3171,0.6429,0.4247,0.3188,0.6412,0.4258,0.6162,0.5836,0.5995,9750,20999,5415,50543,0.1749,0.3546,220,157,137,742,SA_LR,0.3,0.2
0.3244,0.5635,0.4117,0.3267,0.5676,0.4147,0.6182,0.5411,0.5771,8546,17800,6619,53742,0.1749,0.3039,204,173,126,753,SA_LR,0.3,0.25
0.3339,0.4544,0.385,0.3363,0.4672,0.3911,0.6171,0.5172,0.5628,6891,13746,8274,57796,0.1749,0.238,195,182,121,758,SA_LR,0.3,0.3
0.3482,0.3192,0.333,0.349,0.3377,0.3432,0.6211,0.4695,0.5347,4840,9061,10325,62481,0.1749,0.1603,177,200,108,771,SA_LR,0.3,0.35
0.3776,0.1869,0.2501,0.3731,0.2024,0.2624,0.6413,0.3793,0.4767,2835,4673,12330,66869,0.1749,0.0866,143,234,80,799,SA_LR,0.3,0.4
0.2923,0.7499,0.4207,0.2941,0.7448,0.4216,0.6402,0.557,0.5957,11372,27528,3793,44014,0.1749,0.4486,210,167,118,761,SA_LR,0.35,0.05
0.3097,0.7121,0.4317,0.3119,0.7078,0.433,0.6391,0.5544,0.5938,10799,24067,4366,47475,0.1749,0.4021,209,168,118,761,SA_LR,0.35,0.1
0.3174,0.6681,0.4304,0.3197,0.6646,0.4317,0.6467,0.5438,0.5908,10131,21783,5034,49759,0.1749,0.3681,205,172,112,767,SA_LR,0.35,0.15
0.3269,0.623,0.4288,0.3285,0.6218,0.4299,0.6438,0.5225,0.5769,9448,19457,5717,52085,0.1749,0.3334,197,180,109,770,SA_LR,0.35,0.2
0.3337,0.5487,0.415,0.336,0.5525,0.4179,0.6434,0.4881,0.5551,8321,16613,6844,54929,0.1749,0.2876,184,193,102,777,SA_LR,0.35,0.25
0.343,0.4464,0.3879,0.345,0.458,0.3936,0.6423,0.4668,0.5407,6770,12969,8395,58573,0.1749,0.2277,176,201,98,781,SA_LR,0.35,0.3
0.3549,0.3151,0.3338,0.3555,0.3329,0.3438,0.6468,0.4324,0.5183,4779,8688,10386,62854,0.1749,0.1553,163,214,89,790,SA_LR,0.35,0.35
0.3832,0.1858,0.2503,0.3793,0.2011,0.2628,0.6618,0.3581,0.4647,2818,4535,12347,67007,0.1749,0.0848,135,242,69,810,SA_LR,0.35,0.4
0.2934,0.693,0.4122,0.295,0.6883,0.413,0.6594,0.4828,0.5574,10509,25315,4656,46227,0.1749,0.4132,182,195,94,785,SA_LR,0.4,0.05
0.3099,0.6649,0.4227,0.3121,0.6604,0.4239,0.6594,0.4828,0.5574,10083,22455,5082,49087,0.1749,0.3753,182,195,94,785,SA_LR,0.4,0.1
0.3183,0.6293,0.4228,0.3205,0.626,0.4239,0.6654,0.4801,0.5578,9543,20434,5622,51108,0.1749,0.3457,181,196,91,788,SA_LR,0.4,0.15
0.3271,0.5877,0.4203,0.329,0.5868,0.4216,0.6616,0.4615,0.5438,8912,18333,6253,53209,0.1749,0.3142,174,203,89,790,SA_LR,0.4,0.2
0.334,0.5211,0.4071,0.3366,0.5248,0.4102,0.6627,0.4377,0.5272,7902,15754,7263,55788,0.1749,0.2728,165,212,84,795,SA_LR,0.4,0.25
0.3427,0.4266,0.38,0.3453,0.4377,0.3861,0.6598,0.4218,0.5146,6469,12410,8696,59132,0.1749,0.2177,159,218,82,797,SA_LR,0.4,0.3
0.3564,0.3062,0.3294,0.3576,0.3239,0.3399,0.6622,0.3899,0.4908,4643,8386,10522,63156,0.1749,0.1503,147,230,75,804,SA_LR,0.4,0.35
0.3863,0.184,0.2492,0.3831,0.1993,0.2622,0.6684,0.3316,0.4433,2790,4433,12375,67109,0.1749,0.0833,125,252,62,817,SA_LR,0.4,0.4
0.2999,0.6415,0.4087,0.3016,0.6366,0.4093,0.6784,0.4085,0.5099,9728,22709,5437,48833,0.1749,0.3741,154,223,73,806,SA_LR,0.45,0.05
0.3159,0.6179,0.4181,0.318,0.613,0.4188,0.6784,0.4085,0.5099,9371,20294,5794,51248,0.1749,0.3421,154,223,73,806,SA_LR,0.45,0.1
0.324,0.5865,0.4174,0.3261,0.583,0.4182,0.683,0.4058,0.5092,8894,18557,6271,52985,0.1749,0.3166,153,224,71,808,SA_LR,0.45,0.15
0.3323,0.5473,0.4136,0.3341,0.546,0.4145,0.6787,0.3979,0.5017,8300,16674,6865,54868,0.1749,0.288,150,227,71,808,SA_LR,0.45,0.2
0.338,0.4847,0.3983,0.3407,0.488,0.4013,0.6857,0.382,0.4906,7351,14396,7814,57146,0.1749,0.2508,144,233,66,813,SA_LR,0.45,0.25
0.3438,0.3966,0.3684,0.3466,0.4064,0.3741,0.6847,0.3687,0.4793,6015,11479,9150,60063,0.1749,0.2018,139,238,64,815,SA_LR,0.45,0.3
0.3534,0.2866,0.3165,0.3545,0.3025,0.3264,0.6898,0.3422,0.4574,4346,7951,10819,63591,0.1749,0.1418,129,248,58,821,SA_LR,0.45,0.35
0.3817,0.1749,0.2399,0.3771,0.1881,0.251,0.6918,0.2918,0.4104,2653,4297,12512,67245,0.1749,0.0802,110,267,49,830,SA_LR,0.45,0.4
0.3126,0.5956,0.41,0.3145,0.5915,0.4107,0.7219,0.3581,0.4787,9032,19864,6133,51678,0.1749,0.3333,135,242,52,827,SA_LR,0.5,0.05
0.325,0.5751,0.4153,0.3273,0.5711,0.4161,0.7219,0.3581,0.4787,8722,18118,6443,53424,0.1749,0.3095,135,242,52,827,SA_LR,0.5,0.1
0.3324,0.5461,0.4132,0.3344,0.5436,0.4141,0.7219,0.3581,0.4787,8281,16632,6884,54910,0.1749,0.2873,135,242,52,827,SA_LR,0.5,0.15
0.3391,0.5085,0.4069,0.3407,0.5083,0.408,0.7189,0.3528,0.4733,7712,15030,7453,56512,0.1749,0.2623,133,244,52,827,SA_LR,0.5,0.2
0.3435,0.4513,0.3901,0.3457,0.454,0.3925,0.7191,0.3395,0.4613,6844,13082,8321,58460,0.1749,0.2298,128,249,50,829,SA_LR,0.5,0.25
0.3495,0.3753,0.362,0.3521,0.3837,0.3672,0.7184,0.3316,0.4537,5691,10590,9474,60952,0.1749,0.1878,125,252,49,830,SA_LR,0.5,0.3
0.3576,0.2746,0.3106,0.3582,0.289,0.3199,0.725,0.3077,0.432,4164,7481,11001,64061,0.1749,0.1343,116,261,44,835,SA_LR,0.5,0.35
0.384,0.1711,0.2367,0.3784,0.1833,0.247,0.7226,0.2626,0.3852,2595,4163,12570,67379,0.1749,0.0779,99,278,38,841,SA_LR,0.5,0.4
0.3205,0.5315,0.3998,0.3214,0.5286,0.3997,0.777,0.305,0.4381,8060,17092,7105,54450,0.1749,0.2901,115,262,33,846,SA_LR,0.55,0.05
0.3335,0.5118,0.4039,0.3349,0.5091,0.404,0.777,0.305,0.4381,7761,15508,7404,56034,0.1749,0.2684,115,262,33,846,SA_LR,0.55,0.1
0.3412,0.4858,0.4009,0.3426,0.4849,0.4015,0.777,0.305,0.4381,7367,14222,7798,57320,0.1749,0.249,115,262,33,846,SA_LR,0.55,0.15
0.3492,0.454,0.3948,0.35,0.4548,0.3956,0.774,0.2997,0.4321,6885,12829,8280,58713,0.1749,0.2274,113,264,33,846,SA_LR,0.55,0.2
0.3555,0.4067,0.3794,0.3564,0.4094,0.3811,0.7714,0.2865,0.4178,6167,11179,8998,60363,0.1749,0.2001,108,269,32,847,SA_LR,0.55,0.25
0.3658,0.3459,0.3555,0.3672,0.3529,0.3599,0.7681,0.2812,0.4117,5245,9094,9920,62448,0.1749,0.1654,106,271,32,847,SA_LR,0.55,0.3
0.3767,0.2614,0.3086,0.3763,0.274,0.3171,0.7795,0.2626,0.3929,3964,6560,11201,64982,0.1749,0.1214,99,278,28,851,SA_LR,0.55,0.35
0.3969,0.1666,0.2347,0.3901,0.1778,0.2442,0.7798,0.2255,0.3498,2527,3840,12638,67702,0.1749,0.0734,85,292,24,855,SA_LR,0.55,0.4
0.325,0.4481,0.3768,0.3264,0.4461,0.377,0.7545,0.2202,0.3409,6796,14114,8369,57428,0.1749,0.2412,83,294,27,852,SA_LR,0.6,0.05
0.3366,0.4335,0.379,0.3385,0.4319,0.3795,0.7545,0.2202,0.3409,6574,12956,8591,58586,0.1749,0.2252,83,294,27,852,SA_LR,0.6,0.1
0.3449,0.4152,0.3768,0.3466,0.4146,0.3776,0.7545,0.2202,0.3409,6296,11961,8869,59581,0.1749,0.2106,83,294,27,852,SA_LR,0.6,0.15
0.3536,0.3911,0.3714,0.3548,0.3918,0.3724,0.7545,0.2202,0.3409,5931,10841,9234,60701,0.1749,0.1934,83,294,27,852,SA_LR,0.6,0.2
0.3623,0.3548,0.3585,0.3636,0.3571,0.3603,0.7524,0.2095,0.3278,5381,9471,9784,62071,0.1749,0.1713,79,298,26,853,SA_LR,0.6,0.25
0.374,0.305,0.336,0.3757,0.311,0.3403,0.7524,0.2095,0.3278,4626,7743,10539,63799,0.1749,0.1427,79,298,26,853,SA_LR,0.6,0.3
0.3864,0.2338,0.2914,0.3864,0.245,0.2998,0.7653,0.1989,0.3158,3546,5630,11619,65912,0.1749,0.1058,75,302,23,856,SA_LR,0.6,0.35
0.4066,0.1512,0.2204,0.3999,0.1607,0.2293,0.7674,0.1751,0.2851,2293,3346,12872,68196,0.1749,0.065,66,311,20,859,SA_LR,0.6,0.4
0.3389,0.389,0.3622,0.3409,0.3874,0.3627,0.7952,0.1751,0.287,5899,11506,9266,60036,0.1749,0.2007,66,311,17,862,SA_LR,0.65,0.05
0.3517,0.3808,0.3657,0.3538,0.3793,0.3661,0.7952,0.1751,0.287,5775,10646,9390,60896,0.1749,0.1894,66,311,17,862,SA_LR,0.65,0.1
0.3582,0.3668,0.3625,0.3596,0.3659,0.3627,0.7952,0.1751,0.287,5563,9966,9602,61576,0.1749,0.1791,66,311,17,862,SA_LR,0.65,0.15
0.3653,0.3462,0.3555,0.3661,0.346,0.3558,0.7952,0.1751,0.287,5250,9121,9915,62421,0.1749,0.1657,66,311,17,862,SA_LR,0.65,0.2
0.3698,0.3124,0.3387,0.3707,0.3138,0.3399,0.8,0.1698,0.2801,4737,8073,10428,63469,0.1749,0.1477,64,313,16,863,SA_LR,0.65,0.25
0.3785,0.2677,0.3136,0.3804,0.2724,0.3175,0.8,0.1698,0.2801,4060,6667,11105,64875,0.1749,0.1237,64,313,16,863,SA_LR,0.65,0.3
0.39,0.2075,0.2709,0.3892,0.2166,0.2783,0.7949,0.1645,0.2725,3147,4922,12018,66620,0.1749,0.0931,62,315,16,863,SA_LR,0.65,0.35
0.4092,0.1368,0.205,0.4003,0.1442,0.212,0.7857,0.1459,0.2461,2074,2994,13091,68548,0.1749,0.0584,55,322,15,864,SA_LR,0.65,0.4
0.3695,0.3485,0.3587,0.3707,0.3462,0.358,0.8361,0.1353,0.2329,5285,9020,9880,62522,0.1749,0.165,51,326,10,869,SA_LR,0.7,0.05
0.3814,0.3455,0.3626,0.3821,0.3431,0.3616,0.8361,0.1353,0.2329,5240,8500,9925,63042,0.1749,0.1585,51,326,10,869,SA_LR,0.7,0.1
0.3866,0.3347,0.3588,0.3864,0.3327,0.3575,0.8361,0.1353,0.2329,5076,8055,10089,63487,0.1749,0.1514,51,326,10,869,SA_LR,0.7,0.15
0.3932,0.317,0.351,0.3923,0.3158,0.35,0.8361,0.1353,0.2329,4808,7420,10357,64122,0.1749,0.141,51,326,10,869,SA_LR,0.7,0.2
0.3981,0.2871,0.3336,0.3978,0.2872,0.3335,0.8361,0.1353,0.2329,4354,6582,10811,64960,0.1749,0.1261,51,326,10,869,SA_LR,0.7,0.25
0.4088,0.2467,0.3077,0.4102,0.25,0.3107,0.8361,0.1353,0.2329,3741,5411,11424,66131,0.1749,0.1056,51,326,10,869,SA_LR,0.7,0.3
0.4225,0.192,0.264,0.42,0.1995,0.2705,0.8305,0.13,0.2248,2911,3979,12254,67563,0.1749,0.0795,49,328,10,869,SA_LR,0.7,0.35
0.4436,0.127,0.1975,0.4334,0.1335,0.2042,0.8214,0.122,0.2125,1926,2416,13239,69126,0.1749,0.0501,46,331,10,869,SA_LR,0.7,0.4
0.3956,0.3136,0.3499,0.3977,0.3116,0.3494,0.8723,0.1088,0.1934,4756,7266,10409,64276,0.1749,0.1387,41,336,6,873,SA_LR,0.75,0.05
0.406,0.3121,0.3529,0.4082,0.3099,0.3523,0.8723,0.1088,0.1934,4733,6924,10432,64618,0.1749,0.1344,41,336,6,873,SA_LR,0.75,0.1
0.4107,0.3048,0.3499,0.4122,0.303,0.3493,0.8723,0.1088,0.1934,4623,6633,10542,64909,0.1749,0.1298,41,336,6,873,SA_LR,0.75,0.15
0.4153,0.2901,0.3416,0.416,0.2893,0.3413,0.8723,0.1088,0.1934,4399,6193,10766,65349,0.1749,0.1222,41,336,6,873,SA_LR,0.75,0.2
0.4197,0.2641,0.3242,0.42,0.264,0.3242,0.8723,0.1088,0.1934,4005,5537,11160,66005,0.1749,0.11,41,336,6,873,SA_LR,0.75,0.25
0.4292,0.2268,0.2968,0.4318,0.2298,0.3,0.8723,0.1088,0.1934,3440,4574,11725,66968,0.1749,0.0924,41,336,6,873,SA_LR,0.75,0.3
0.4425,0.1769,0.2528,0.441,0.1838,0.2594,0.8696,0.1061,0.1891,2683,3380,12482,68162,0.1749,0.0699,40,337,6,873,SA_LR,0.75,0.35
0.4654,0.119,0.1895,0.4562,0.1245,0.1957,0.8667,0.1034,0.1848,1804,2072,13361,69470,0.1749,0.0447,39,338,6,873,SA_LR,0.75,0.4
0.3736,0.2464,0.2969,0.3746,0.2435,0.2951,0.8611,0.0822,0.1501,3736,6265,11429,65277,0.1749,0.1153,31,346,5,874,SA_LR,0.8,0.05
0.3833,0.2462,0.2998,0.3841,0.2432,0.2979,0.8611,0.0822,0.1501,3733,6005,11432,65537,0.1749,0.1123,31,346,5,874,SA_LR,0.8,0.1
0.3869,0.241,0.297,0.3862,0.2382,0.2946,0.8611,0.0822,0.1501,3655,5793,11510,65749,0.1749,0.109,31,346,5,874,SA_LR,0.8,0.15
0.39,0.2301,0.2894,0.3887,0.228,0.2874,0.8611,0.0822,0.1501,3489,5457,11676,66085,0.1749,0.1032,31,346,5,874,SA_LR,0.8,0.2
0.3955,0.2127,0.2766,0.3942,0.2114,0.2752,0.8611,0.0822,0.1501,3226,4931,11939,66611,0.1749,0.0941,31,346,5,874,SA_LR,0.8,0.25
0.4115,0.1881,0.2582,0.4128,0.1893,0.2595,0.8611,0.0822,0.1501,2853,4081,12312,67461,0.1749,0.08,31,346,5,874,SA_LR,0.8,0.3
0.4348,0.1519,0.2251,0.4321,0.1563,0.2296,0.8611,0.0822,0.1501,2303,2994,12862,68548,0.1749,0.0611,31,346,5,874,SA_LR,0.8,0.35
0.4755,0.1076,0.1754,0.4636,0.1116,0.1799,0.8611,0.0822,0.1501,1631,1799,13534,69743,0.1749,0.0396,31,346,5,874,SA_LR,0.8,0.4
0.3903,0.1809,0.2473,0.3907,0.1776,0.2442,0.913,0.0557,0.105,2744,4287,12421,67255,0.1749,0.0811,21,356,2,877,SA_LR,0.85,0.05
0.3976,0.1807,0.2485,0.3976,0.1774,0.2453,0.913,0.0557,0.105,2741,4153,12424,67389,0.1749,0.0795,21,356,2,877,SA_LR,0.85,0.1
0.3984,0.1765,0.2447,0.3976,0.1736,0.2417,0.913,0.0557,0.105,2677,4042,12488,67500,0.1749,0.0775,21,356,2,877,SA_LR,0.85,0.15
0.4003,0.1687,0.2373,0.3993,0.1666,0.2352,0.913,0.0557,0.105,2558,3832,12607,67710,0.1749,0.0737,21,356,2,877,SA_LR,0.85,0.2
0.4069,0.1577,0.2273,0.4062,0.1558,0.2252,0.913,0.0557,0.105,2392,3486,12773,68056,0.1749,0.0678,21,356,2,877,SA_LR,0.85,0.25
0.4199,0.1426,0.2129,0.4198,0.1418,0.212,0.913,0.0557,0.105,2163,2988,13002,68554,0.1749,0.0594,21,356,2,877,SA_LR,0.85,0.3
0.4382,0.1168,0.1845,0.4351,0.1192,0.1871,0.913,0.0557,0.105,1772,2272,13393,69270,0.1749,0.0466,21,356,2,877,SA_LR,0.85,0.35
0.4674,0.0826,0.1404,0.4579,0.0854,0.1439,0.913,0.0557,0.105,1253,1428,13912,70114,0.1749,0.0309,21,356,2,877,SA_LR,0.85,0.4
0.3895,0.1056,0.1662,0.3887,0.1025,0.1622,1.0,0.0318,0.0617,1602,2511,13563,69031,0.1749,0.0474,12,365,0,879,SA_LR,0.9,0.05
0.3942,0.1056,0.1666,0.3929,0.1025,0.1626,1.0,0.0318,0.0617,1602,2462,13563,69080,0.1749,0.0469,12,365,0,879,SA_LR,0.9,0.1
0.3968,0.1049,0.1659,0.3953,0.102,0.1622,1.0,0.0318,0.0617,1591,2419,13574,69123,0.1749,0.0462,12,365,0,879,SA_LR,0.9,0.15
0.4081,0.1043,0.1661,0.4064,0.1015,0.1624,1.0,0.0318,0.0617,1581,2293,13584,69249,0.1749,0.0447,12,365,0,879,SA_LR,0.9,0.2
0.4275,0.1024,0.1652,0.4251,0.0996,0.1614,1.0,0.0318,0.0617,1553,2080,13612,69462,0.1749,0.0419,12,365,0,879,SA_LR,0.9,0.25
0.4603,0.0987,0.1626,0.4586,0.0966,0.1595,1.0,0.0318,0.0617,1497,1755,13668,69787,0.1749,0.0375,12,365,0,879,SA_LR,0.9,0.3
0.4992,0.0876,0.149,0.4954,0.0882,0.1497,1.0,0.0318,0.0617,1328,1332,13837,70210,0.1749,0.0307,12,365,0,879,SA_LR,0.9,0.35
0.5362,0.0663,0.1181,0.5307,0.0685,0.1214,1.0,0.0318,0.0617,1006,870,14159,70672,0.1749,0.0216,12,365,0,879,SA_LR,0.9,0.4
0.4697,0.0286,0.0539,0.4664,0.0278,0.0525,1.0,0.0053,0.0106,434,490,14731,71052,0.1749,0.0107,2,375,0,879,SA_LR,0.95,0.05
0.4697,0.0286,0.0539,0.4664,0.0278,0.0525,1.0,0.0053,0.0106,434,490,14731,71052,0.1749,0.0107,2,375,0,879,SA_LR,0.95,0.1
0.4697,0.0286,0.0539,0.4664,0.0278,0.0525,1.0,0.0053,0.0106,434,490,14731,71052,0.1749,0.0107,2,375,0,879,SA_LR,0.95,0.15
0.4697,0.0286,0.0539,0.4664,0.0278,0.0525,1.0,0.0053,0.0106,434,490,14731,71052,0.1749,0.0107,2,375,0,879,SA_LR,0.95,0.2
0.4712,0.0286,0.054,0.4672,0.0278,0.0525,1.0,0.0053,0.0106,434,487,14731,71055,0.1749,0.0106,2,375,0,879,SA_LR,0.95,0.25
0.4768,0.0285,0.0538,0.4719,0.0277,0.0524,1.0,0.0053,0.0106,432,474,14733,71068,0.1749,0.0104,2,375,0,879,SA_LR,0.95,0.3
0.4865,0.0274,0.0519,0.48,0.027,0.0512,1.0,0.0053,0.0106,416,439,14749,71103,0.1749,0.0099,2,375,0,879,SA_LR,0.95,0.35
