gate_threshold,TP,FP,FN,TN,token_precision,token_recall,token_f1,char_precision,char_recall,char_f1,ans_precision,ans_recall,ans_f1,gold_positive_rate,predicted_positive_rate,cat_A,cat_B,cat_C,cat_D,token_threshold,gate_model
0.05,14104,48371,1061,23171,0.2258,0.93,0.3633,0.4297,0.4324,0.431,0.3633,0.9655,0.5279,0.1749,0.7205,364,13,638,241,0.05,LR
0.05,13021,40133,2144,31409,0.245,0.8586,0.3812,0.4536,0.3884,0.4185,0.39,0.9125,0.5465,0.1749,0.613,344,33,538,341,0.1,LR
0.05,12100,35773,3065,35769,0.2528,0.7979,0.3839,0.4625,0.3566,0.4027,0.401,0.8647,0.5479,0.1749,0.5521,326,51,487,392,0.15,LR
0.05,11069,31056,4096,40486,0.2628,0.7299,0.3864,0.4751,0.3223,0.3841,0.4055,0.8196,0.5426,0.1749,0.4858,309,68,453,426,0.2,LR
0.05,9348,24664,5817,46878,0.2748,0.6164,0.3802,0.5017,0.2749,0.3552,0.4132,0.7454,0.5317,0.1749,0.3923,281,96,399,480,0.25,LR
0.05,7210,17450,7955,54092,0.2924,0.4754,0.3621,0.5446,0.2163,0.3096,0.4366,0.6764,0.5307,0.1749,0.2844,255,122,329,550,0.3,LR
0.05,4921,10681,10244,60861,0.3154,0.3245,0.3199,0.6078,0.1527,0.2441,0.4743,0.5385,0.5043,0.1749,0.1799,203,174,225,654,0.35,LR
0.05,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.1,14104,48371,1061,23171,0.2258,0.93,0.3633,0.4297,0.4324,0.431,0.3633,0.9655,0.5279,0.1749,0.7205,364,13,638,241,0.05,LR
0.1,13021,40133,2144,31409,0.245,0.8586,0.3812,0.4536,0.3884,0.4185,0.39,0.9125,0.5465,0.1749,0.613,344,33,538,341,0.1,LR
0.1,12100,35773,3065,35769,0.2528,0.7979,0.3839,0.4625,0.3566,0.4027,0.401,0.8647,0.5479,0.1749,0.5521,326,51,487,392,0.15,LR
0.1,11069,31056,4096,40486,0.2628,0.7299,0.3864,0.4751,0.3223,0.3841,0.4055,0.8196,0.5426,0.1749,0.4858,309,68,453,426,0.2,LR
0.1,9348,24664,5817,46878,0.2748,0.6164,0.3802,0.5017,0.2749,0.3552,0.4132,0.7454,0.5317,0.1749,0.3923,281,96,399,480,0.25,LR
0.1,7210,17450,7955,54092,0.2924,0.4754,0.3621,0.5446,0.2163,0.3096,0.4366,0.6764,0.5307,0.1749,0.2844,255,122,329,550,0.3,LR
0.1,4921,10681,10244,60861,0.3154,0.3245,0.3199,0.6078,0.1527,0.2441,0.4743,0.5385,0.5043,0.1749,0.1799,203,174,225,654,0.35,LR
0.1,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.15,14104,48371,1061,23171,0.2258,0.93,0.3633,0.4297,0.4324,0.431,0.3633,0.9655,0.5279,0.1749,0.7205,364,13,638,241,0.05,LR
0.15,13021,40133,2144,31409,0.245,0.8586,0.3812,0.4536,0.3884,0.4185,0.39,0.9125,0.5465,0.1749,0.613,344,33,538,341,0.1,LR
0.15,12100,35773,3065,35769,0.2528,0.7979,0.3839,0.4625,0.3566,0.4027,0.401,0.8647,0.5479,0.1749,0.5521,326,51,487,392,0.15,LR
0.15,11069,31056,4096,40486,0.2628,0.7299,0.3864,0.4751,0.3223,0.3841,0.4055,0.8196,0.5426,0.1749,0.4858,309,68,453,426,0.2,LR
0.15,9348,24664,5817,46878,0.2748,0.6164,0.3802,0.5017,0.2749,0.3552,0.4132,0.7454,0.5317,0.1749,0.3923,281,96,399,480,0.25,LR
0.15,7210,17450,7955,54092,0.2924,0.4754,0.3621,0.5446,0.2163,0.3096,0.4366,0.6764,0.5307,0.1749,0.2844,255,122,329,550,0.3,LR
0.15,4921,10681,10244,60861,0.3154,0.3245,0.3199,0.6078,0.1527,0.2441,0.4743,0.5385,0.5043,0.1749,0.1799,203,174,225,654,0.35,LR
0.15,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.2,14104,48214,1061,23328,0.2263,0.93,0.3641,0.4308,0.4324,0.4316,0.3662,0.9655,0.531,0.1749,0.7187,364,13,630,249,0.05,LR
0.2,13021,39976,2144,31566,0.2457,0.8586,0.3821,0.455,0.3884,0.4191,0.3936,0.9125,0.55,0.1749,0.6112,344,33,530,349,0.1,LR
0.2,12100,35622,3065,35920,0.2536,0.7979,0.3848,0.464,0.3566,0.4033,0.405,0.8647,0.5516,0.1749,0.5504,326,51,479,400,0.15,LR
0.2,11069,30983,4096,40559,0.2632,0.7299,0.3869,0.4759,0.3223,0.3844,0.4093,0.8196,0.5459,0.1749,0.485,309,68,446,433,0.2,LR
0.2,9348,24657,5817,46885,0.2749,0.6164,0.3802,0.5018,0.2749,0.3552,0.4157,0.7454,0.5337,0.1749,0.3922,281,96,395,484,0.25,LR
0.2,7210,17450,7955,54092,0.2924,0.4754,0.3621,0.5446,0.2163,0.3096,0.4366,0.6764,0.5307,0.1749,0.2844,255,122,329,550,0.3,LR
0.2,4921,10681,10244,60861,0.3154,0.3245,0.3199,0.6078,0.1527,0.2441,0.4743,0.5385,0.5043,0.1749,0.1799,203,174,225,654,0.35,LR
0.2,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.25,14015,47076,1150,24466,0.2294,0.9242,0.3676,0.4376,0.4306,0.4341,0.3865,0.939,0.5476,0.1749,0.7046,354,23,562,317,0.05,LR
0.25,12948,38890,2217,32652,0.2498,0.8538,0.3865,0.4634,0.3869,0.4217,0.4116,0.9019,0.5653,0.1749,0.5979,340,37,486,393,0.1,LR
0.25,12027,34573,3138,36969,0.2581,0.7931,0.3894,0.4732,0.3551,0.4057,0.4254,0.8541,0.5679,0.1749,0.5374,322,55,435,444,0.15,LR
0.25,11005,30252,4160,41290,0.2667,0.7257,0.3901,0.483,0.321,0.3857,0.4308,0.809,0.5622,0.1749,0.4758,305,72,403,476,0.2,LR
0.25,9330,24476,5835,47066,0.276,0.6152,0.381,0.5042,0.2745,0.3555,0.4335,0.7347,0.5453,0.1749,0.3899,277,100,362,517,0.25,LR
0.25,7210,17447,7955,54095,0.2924,0.4754,0.3621,0.5447,0.2163,0.3097,0.4381,0.6764,0.5318,0.1749,0.2844,255,122,327,552,0.3,LR
0.25,4921,10681,10244,60861,0.3154,0.3245,0.3199,0.6078,0.1527,0.2441,0.4743,0.5385,0.5043,0.1749,0.1799,203,174,225,654,0.35,LR
0.25,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.3,13648,45226,1517,26316,0.2318,0.9,0.3687,0.4455,0.4225,0.4337,0.4155,0.8806,0.5646,0.1749,0.679,332,45,467,412,0.05,LR
0.3,12612,37425,2553,34117,0.2521,0.8317,0.3869,0.4711,0.3797,0.4205,0.4241,0.8594,0.5679,0.1749,0.5771,324,53,440,439,0.1,LR
0.3,11694,33152,3471,38390,0.2608,0.7711,0.3897,0.4818,0.348,0.4041,0.4384,0.8117,0.5693,0.1749,0.5172,306,71,392,487,0.15,LR
0.3,10730,29203,4435,42339,0.2687,0.7076,0.3895,0.4904,0.3154,0.3839,0.4453,0.7666,0.5634,0.1749,0.4606,289,88,360,519,0.2,LR
0.3,9204,24059,5961,47483,0.2767,0.6069,0.3801,0.5078,0.272,0.3543,0.4439,0.6923,0.5409,0.1749,0.3836,261,116,327,552,0.25,LR
0.3,7194,17392,7971,54150,0.2926,0.4744,0.362,0.5454,0.216,0.3094,0.4434,0.6446,0.5254,0.1749,0.2836,243,134,305,574,0.3,LR
0.3,4920,10681,10245,60861,0.3154,0.3244,0.3198,0.6078,0.1527,0.2441,0.4731,0.5358,0.5025,0.1749,0.1799,202,175,225,654,0.35,LR
0.3,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.35,13176,42866,1989,28676,0.2351,0.8688,0.3701,0.4563,0.4119,0.433,0.4427,0.809,0.5722,0.1749,0.6463,305,72,384,495,0.05,LR
0.35,12180,35508,2985,36034,0.2554,0.8032,0.3876,0.4822,0.3704,0.4189,0.4446,0.7984,0.5712,0.1749,0.55,301,76,376,503,0.1,LR
0.35,11295,31345,3870,40197,0.2649,0.7448,0.3908,0.4941,0.3394,0.4024,0.4627,0.756,0.574,0.1749,0.4918,285,92,331,548,0.15,LR
0.35,10417,27624,4748,43918,0.2738,0.6869,0.3916,0.5037,0.3087,0.3828,0.4719,0.7135,0.5681,0.1749,0.4387,269,108,301,578,0.2,LR
0.35,9031,23013,6134,48529,0.2818,0.5955,0.3826,0.5198,0.2683,0.3539,0.4738,0.6472,0.5471,0.1749,0.3696,244,133,271,608,0.25,LR
0.35,7152,17091,8013,54451,0.295,0.4716,0.363,0.5505,0.2149,0.3092,0.4712,0.6074,0.5307,0.1749,0.2796,229,148,257,622,0.3,LR
0.35,4919,10662,10246,60880,0.3157,0.3244,0.32,0.6085,0.1527,0.2441,0.4855,0.5332,0.5082,0.1749,0.1797,201,176,213,666,0.35,LR
0.35,2842,5224,12323,66318,0.3523,0.1874,0.2447,0.7022,0.0912,0.1615,0.539,0.4032,0.4613,0.1749,0.093,152,225,130,749,0.4,LR
0.4,12815,41091,2350,30451,0.2377,0.845,0.3711,0.465,0.4037,0.4322,0.4638,0.7639,0.5772,0.1749,0.6217,288,89,333,546,0.05,LR
0.4,11895,34039,3270,37503,0.259,0.7844,0.3894,0.4916,0.3637,0.4181,0.4635,0.7586,0.5755,0.1749,0.5298,286,91,331,548,0.1,LR
0.4,11023,29971,4142,41571,0.2689,0.7269,0.3926,0.5043,0.333,0.4011,0.4823,0.7215,0.5781,0.1749,0.4728,272,105,292,587,0.15,LR
0.4,10191,26475,4974,45067,0.2779,0.672,0.3932,0.5133,0.3032,0.3812,0.4933,0.679,0.5714,0.1749,0.4229,256,121,263,616,0.2,LR
0.4,8870,22283,6295,49259,0.2847,0.5849,0.383,0.5267,0.2643,0.3519,0.4957,0.6154,0.5491,0.1749,0.3593,232,145,236,643,0.25,LR
0.4,7099,16774,8066,54768,0.2974,0.4681,0.3637,0.5554,0.2135,0.3085,0.4921,0.5782,0.5317,0.1749,0.2753,218,159,225,654,0.3,LR
0.4,4913,10619,10252,60923,0.3163,0.324,0.3201,0.6096,0.1525,0.244,0.4962,0.5172,0.5065,0.1749,0.1791,195,182,198,681,0.35,LR
0.4,2842,5223,12323,66319,0.3524,0.1874,0.2447,0.7023,0.0912,0.1615,0.5409,0.4032,0.462,0.1749,0.093,152,225,129,750,0.4,LR
0.45,12354,38628,2811,32914,0.2423,0.8146,0.3735,0.4764,0.3912,0.4296,0.4889,0.7003,0.5758,0.1749,0.588,264,113,276,603,0.05,LR
0.45,11504,32084,3661,39458,0.2639,0.7586,0.3916,0.5025,0.3528,0.4146,0.4888,0.695,0.5739,0.1749,0.5027,262,115,274,605,0.1,LR
0.45,10662,28155,4503,43387,0.2747,0.7031,0.395,0.5169,0.3232,0.3977,0.501,0.6658,0.5718,0.1749,0.4477,251,126,250,629,0.15,LR
0.45,9893,24846,5272,46696,0.2848,0.6524,0.3965,0.5278,0.2953,0.3787,0.5153,0.626,0.5653,0.1749,0.4006,236,141,222,657,0.2,LR
0.45,8662,21041,6503,50501,0.2916,0.5712,0.3861,0.5405,0.2586,0.3498,0.5196,0.5623,0.5401,0.1749,0.3426,212,165,196,683,0.25,LR
0.45,6982,16134,8183,55408,0.302,0.4604,0.3648,0.5647,0.2102,0.3064,0.5167,0.5332,0.5248,0.1749,0.2666,201,176,188,691,0.3,LR
